catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection
UCSB_IZC00043585_R,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00043591_R,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00043598_R,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00014691_R,Andrena principalis,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00014716_R,Andrena principalis,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00015215_R,Andrena principalis,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00043466_R,Anthidium collectum,Anthidium,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00030047_R,Anthidium palliventre,Anthidium,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00042274_R,Anthidium palliventre,Anthidium,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00030533_R,Anthidium palliventre,Anthidium,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00043095_R,Anthophora californica,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00010322_R,Anthophora edwardsii,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00010379_R,Anthophora edwardsii,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00037376_R,Anthophora edwardsii,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00002908_R,Anthophora flavocincta,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00035539_R,Anthophora flavocincta,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00036866_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00037043_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00044716_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036056_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036441_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010360_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00016671_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
