,catalogNumber,LM1x,LM2x,LM3x,LM4x,LM5x,LM6x,LM7x,LM8x,LM9x,LM1y,LM2y,LM3y,LM4y,LM5y,LM6y,LM7y,LM8y,LM9y,Species,Genus,Subfamily,Family,Sex,Collection
169,UCSB_IZC00031299_R,0.448544432,0.320486181,-0.065947976,-0.178378625,-0.337332268,-0.485814959,0.035047267,0.097018245,0.166377704,0.121911138,0.210393605,0.117365784,0.141706369,0.045260109,0.045912545,-0.090686041,-0.276192154,-0.315671356,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
170,UCSB_IZC00033241_L,0.477721879,0.292447401,0.005617952,-0.161841524,-0.354991711,-0.431519322,-0.04091607,0.057072567,0.156408829,0.208065092,0.193480018,0.132390812,0.151344506,0.04360018,0.030318393,-0.16212799,-0.269443117,-0.327627894,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
171,UCSB_IZC00033241_R,0.479880222,0.295549397,0.006222274,-0.164027233,-0.350771603,-0.436316789,-0.038951527,0.056880453,0.151534806,0.205636811,0.193257885,0.135303302,0.149307363,0.041414706,0.026820219,-0.158047996,-0.269102575,-0.324589714,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
172,UCSB_IZC00033743_L,0.456974583,0.385916728,-0.069540706,-0.210544886,-0.405839862,-0.439864787,0.042329683,0.077105563,0.163463682,0.089570198,0.229116975,0.099686759,0.117102163,0.024671726,0.043327222,-0.090341274,-0.231750556,-0.281383214,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
173,UCSB_IZC00033743_R,0.453477401,0.390326586,-0.064957551,-0.206503112,-0.407561366,-0.437816614,0.034743063,0.079149277,0.159142317,0.090242344,0.235101731,0.101762271,0.115930047,0.021433636,0.042973147,-0.095370008,-0.230569896,-0.281503272,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
174,UCSB_IZC00034409_L,0.416523825,0.324465092,0.037029609,-0.086995919,-0.33678921,-0.493550695,-0.026835528,0.045001871,0.121150954,0.160010699,0.245440094,0.175964587,0.189741722,0.001038064,-0.024551763,-0.132266211,-0.283174251,-0.332202941,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
175,UCSB_IZC00034409_R,0.418491107,0.322913371,0.038266066,-0.086265764,-0.336688776,-0.496656292,-0.024835032,0.043629817,0.121145503,0.157870364,0.24437343,0.176781079,0.190629063,-8.57E-05,-0.026287265,-0.131042176,-0.282818764,-0.32941999,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
176,UCSB_IZC00034449_L,0.472453412,0.307432183,0.002016269,-0.167109324,-0.355370722,-0.421830056,-0.054173085,0.052309309,0.164272014,0.193640438,0.206185646,0.145685995,0.147587252,0.038546609,0.028220138,-0.174744803,-0.264509324,-0.32061195,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
177,UCSB_IZC00034449_R,0.471459239,0.297294886,0.008297395,-0.157749107,-0.358420339,-0.417878463,-0.058464267,0.052265221,0.163195435,0.202160899,0.205228615,0.14721831,0.156020938,0.036517328,0.030256805,-0.184538132,-0.270465565,-0.322399197,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
178,UCSB_IZC00034799_L,0.391380225,0.303696274,-0.005261818,-0.111976613,-0.340879313,-0.488519344,0.013716016,0.080175174,0.157669399,0.104390906,0.257336607,0.180891141,0.209973803,0.027294422,0.004190617,-0.174476124,-0.291210166,-0.318391206,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
179,UCSB_IZC00034799_R,0.388892179,0.304192332,-0.005432278,-0.11101971,-0.344095883,-0.478849209,0.011226307,0.079235926,0.155850335,0.110216905,0.260276807,0.181620215,0.211882824,0.021698892,0.010991475,-0.179803681,-0.295864594,-0.321018842,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
180,UCSB_IZC00034847_L,0.392292291,0.315015589,-0.011453648,-0.108461245,-0.346154005,-0.498638245,0.017952776,0.083101689,0.156344799,0.096411558,0.249470002,0.179211289,0.211595413,0.021308325,-0.001028543,-0.168823799,-0.278354569,-0.309789676,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
181,UCSB_IZC00034847_R,0.389192377,0.312214515,-0.010175265,-0.095450388,-0.343963618,-0.507743185,0.01876433,0.079124561,0.158036674,0.103725336,0.250052095,0.175277968,0.205768543,0.024099126,0.002382983,-0.169362372,-0.281061801,-0.310881878,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
182,UCSB_IZC00034914_L,0.475641442,0.307867869,0.010235915,-0.15684125,-0.357441891,-0.436997811,-0.047730289,0.049412868,0.155853148,0.20855795,0.19142692,0.136145104,0.144918312,0.034836165,0.024647931,-0.154851586,-0.26267206,-0.323008736,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
183,UCSB_IZC00034914_R,0.482948966,0.303185583,0.018865432,-0.166406319,-0.357516998,-0.431836186,-0.050083153,0.047546488,0.153296188,0.201964376,0.194525845,0.144351232,0.145610702,0.032152521,0.018889811,-0.155222891,-0.258824225,-0.323447372,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
184,UCSB_IZC00035274_L,0.463134076,0.296141369,-0.02811211,-0.139339006,-0.388869525,-0.447471701,0.017800467,0.07969684,0.14701959,0.157422736,0.194875314,0.142688116,0.164370452,0.010706937,0.040633937,-0.112608666,-0.290741225,-0.3073476,Megachile rotundata,Megachile,Megachilinae,Megachilidae,Female,UCSB
185,UCSB_IZC00035274_R,0.459659549,0.301005762,-0.026416649,-0.137942157,-0.396497877,-0.441179504,0.014500154,0.078441346,0.148429377,0.161812695,0.199035672,0.134137536,0.160382706,0.014954473,0.044093194,-0.115704554,-0.295212667,-0.303499056,Megachile rotundata,Megachile,Megachilinae,Megachilidae,Female,UCSB
186,UCSB_IZC00035286_L,0.454319488,0.373837743,-0.095751546,-0.207062656,-0.372116807,-0.443452722,0.025193213,0.087226016,0.17780727,0.118074158,0.207377923,0.100881632,0.125940538,0.032994258,0.059261842,-0.106931194,-0.231996442,-0.305602715,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
187,UCSB_IZC00035286_R,0.452018403,0.388525798,-0.094826337,-0.209114608,-0.379778748,-0.43782321,0.01917593,0.090318765,0.171504007,0.122685908,0.200344363,0.101387117,0.128956208,0.027753923,0.054524434,-0.107112314,-0.228116274,-0.300423364,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
188,UCSB_IZC00035407_L,0.446436139,0.363702289,-0.117319963,-0.226050752,-0.354325332,-0.424383002,0.03144097,0.090252861,0.190246789,0.113796499,0.221173927,0.099939736,0.131723968,0.053487051,0.068418237,-0.112756105,-0.258301092,-0.317482221,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
189,UCSB_IZC00035407_R,0.445078687,0.364231395,-0.116314036,-0.22319903,-0.354500504,-0.423132514,0.03216255,0.089131433,0.186542019,0.114321088,0.224208157,0.101529016,0.132200274,0.051671034,0.065576353,-0.107140426,-0.258486932,-0.323878564,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
190,UCSB_IZC00035441_L,0.455128691,0.376649146,-0.098146366,-0.199594053,-0.38575866,-0.439011517,0.032217271,0.086522113,0.171993374,0.115954748,0.205779318,0.103267998,0.129095169,0.022720281,0.058876002,-0.101731782,-0.230259645,-0.303702089,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
