"","catalogNumber","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y","Species","Genus","Subfamily","Family","Sex","Collection","ITD"
"50","UCSB_IZC00035618_R",0.44881537248923,0.373840422228444,-0.111275818294395,-0.221399136902482,-0.348988212809189,-0.421803976882075,0.0282922441872721,0.078090431359161,0.174428674624033,0.122609468222346,0.23232444716966,0.099267381006907,0.131357546380645,0.0467743995208323,0.0621437985032636,-0.123416392826454,-0.253195796468264,-0.317864851508934,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",NA
"51","UCSB_IZC00055289_L",0.398009261660634,0.27487011227028,0.030564488839073,-0.123460746540186,-0.353711032279277,-0.467663948933601,0.00620153050487154,0.0845884502152502,0.15060188426296,0.135863777253558,0.228636845481599,0.19542246492522,0.221170671262374,0.0257347466775829,-0.00141990831495952,-0.155708450670747,-0.305506534452868,-0.344193612161762,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.117
"52","UCSB_IZC00055354_R",0.410567223688384,0.267309418661153,0.0232284295205601,-0.127191862328479,-0.355944662218452,-0.451630100149087,0.00213888986844785,0.0816069598070666,0.14991570315041,0.151118127747089,0.228082789470691,0.192755957334048,0.205045719739612,0.0208461759685353,0.0176674190456975,-0.152178035178624,-0.312208818266429,-0.351129335860617,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.134
"53","UCSB_IZC00055752_L",0.402600657268289,0.272687673246459,0.0214919426615813,-0.136063933042433,-0.345306011809489,-0.460168581850383,0.00431751905692444,0.0847641462490901,0.155676588219963,0.13965691339433,0.235374120855243,0.192561764209437,0.202446046048028,0.0351752787640229,0.0137379071917795,-0.164050546635518,-0.308713026855766,-0.346188456971553,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.139
"54","UCSB_IZC00058762_R",0.375721366642534,0.291634080817611,0.0442022134993725,-0.129746869774196,-0.352402974627073,-0.473333301104735,-0.0062195646977173,0.0911332065421872,0.159011842702018,0.142344010949585,0.22565356108151,0.20137949468567,0.208409262459269,0.0312868254901668,0.00874410687484024,-0.174749280633854,-0.310391210182685,-0.332676770724505,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.116
"55","UCSB_IZC00058791_L",0.410025370913261,0.260274232095421,0.0255249993927226,-0.112899665627823,-0.349200735961918,-0.480041578186342,0.000869981679178369,0.0871528839949958,0.158294511700509,0.139351262146097,0.224151768321901,0.189966762641175,0.206154476549033,0.027612875643213,0.00915653571756352,-0.149045935488419,-0.29965121134033,-0.347696534190236,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.131
"56","UCSB_IZC00062637_L",0.407953142710777,0.272322384532229,0.0140543875691167,-0.121866500445043,-0.357799207883268,-0.459299961276778,0.0031990289652935,0.0871652145486481,0.154271511279028,0.151116781726692,0.227779808227301,0.174384145101809,0.201811201888672,0.0303809130114287,0.0210878928334379,-0.150596844157992,-0.30848710843657,-0.34747679019478,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.153
"57","UCSB_IZC00055358_R",0.408492832631335,0.26023788152744,0.0267327816978505,-0.106048485080404,-0.351539346756079,-0.479111668280197,-0.00513806647369554,0.0895533851255854,0.156820685608167,0.143689990424057,0.222625686746792,0.190133616190136,0.210504995763129,0.0281607995926532,0.00787596244696327,-0.158449581730978,-0.300766125728751,-0.343775343704001,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",NA
"58","UCSB_IZC00058743_R",0.407449983037498,0.259397962564586,0.0221515838224212,-0.121015569205915,-0.347853166166133,-0.468919239284726,0.00822236763665476,0.0848748089841322,0.155691268611478,0.139485207660493,0.230075173720277,0.19216225223171,0.209592640805756,0.0279832077952107,0.0121639222148156,-0.151756771598817,-0.306779946153281,-0.352925686676165,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",NA
"59","UCSB_IZC00055354_L",0.408869767633337,0.268572928799968,0.0265885711541314,-0.118227246641322,-0.356646533895193,-0.465391322463684,0.0065172498350219,0.0825911941191856,0.147125391458559,0.15256548718216,0.22486606218714,0.187489167207555,0.203119894524375,0.0265693991688137,0.0128363378694386,-0.155680619987841,-0.304430258977178,-0.34733546917446,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",NA
"60","UCSB_IZC00058762_L",0.381570059670575,0.28905879459007,0.0365221362941865,-0.124483018775285,-0.355427004289719,-0.470956313932381,0.00147645070949377,0.0890721532836014,0.153166742449453,0.139554559630614,0.230242594993159,0.195055764328672,0.21162926957595,0.0298077936985629,0.00500285387893392,-0.163268500097014,-0.309947567189328,-0.338076768819554,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",NA
"61","UCSB_IZC00065370_R",0.388862513644513,0.293476023831925,-0.0105091624570865,-0.122536686607277,-0.33732119196691,-0.489690946715052,0.0336668962592813,0.0998981346352037,0.144154419375402,0.135055095854038,0.223354322550481,0.184725553402542,0.209209326863177,0.0364679167742526,0.0180600324441736,-0.182287698012095,-0.294349886814131,-0.330234663062436,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.128
"62","UCSB_IZC00058718_R",0.38892392965672,0.288130224359326,0.0043088486274523,-0.114141802596134,-0.340075807495876,-0.492584962714231,0.0267215793812072,0.0948010086972833,0.143916982084257,0.137105206024597,0.223039897688572,0.194601035993895,0.21050271359072,0.030469586715438,0.0136263575457992,-0.187268684823811,-0.291925177221823,-0.330150935513382,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.118
"63","UCSB_IZC00058764_L",0.402049385085106,0.28646805195598,-0.000233725069950508,-0.113478876308597,-0.335854715038443,-0.497881684111535,0.0200993637407043,0.088763220173077,0.150068979573658,0.143034761823189,0.216480266699696,0.179052019561305,0.208216270655863,0.0313584863658408,0.01435260060335,-0.179872798433702,-0.283301538411661,-0.329320068863883,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.104
