Id	DryWeight_g_G	ITD_cm_G	ITD (cm) 4
UCSB_IZC00055286_L	0.046	0.107	0.107
UCSB_IZC00058777_L	0.049	0.107	0.107
UCSB_IZC00059172_L	0.049	0.112	0.112
UCSB_IZC00059189_L	0.049	0.115	0.115
UCSB_IZC00059219_L	0.048	0.113	0.113
UCSB_IZC00063917_L	0.05	0.101	0.101
UCSB_IZC00063940_L	0.051	0.108	0.108
UCSB_IZC00063954_L	0.049	0.1	0.1
UCSB_IZC00063955_L	0.05	0.108	0.108
UCSB_IZC00065443_L	0.049	0.117	0.117
UCSB_IZC00055265_L	0.06	0.268	0.268
UCSB_IZC00055304_L	0.061	0.27	0.27
UCSB_IZC00055314_R	0.062	0.277	NaN
UCSB_IZC00058706_L	0.061	0.299	0.299
UCSB_IZC00058737_R	0.068	0.305	NaN
UCSB_IZC00058740_L	0.067	0.316	0.316
UCSB_IZC00062595_R	0.068	0.31	NaN
UCSB_IZC00062639_L	0.069	0.325	0.325
UCSB_IZC00062640_L	0.067	0.296	0.296
UCSB_IZC00035274_L	NaN	NaN	NaN
UCSB_IZC00035274_R	NaN	NaN	NaN
UCSB_IZC00009970_L	NaN	NaN	NaN
UCSB_IZC00009970_R	NaN	NaN	NaN
UCSB_IZC00036467_L	NaN	NaN	NaN
UCSB_IZC00036467_R	NaN	NaN	NaN
UCSB_IZC00043741_L	NaN	NaN	NaN
UCSB_IZC00043741_R	NaN	NaN	NaN
UCSB_IZC00046952_L	NaN	NaN	NaN
UCSB_IZC00046952_R	NaN	NaN	NaN
UCSB_IZC00046991_L	NaN	NaN	NaN
UCSB_IZC00046991_R	NaN	NaN	NaN
UCSB_IZC00047206_L	NaN	NaN	NaN
UCSB_IZC00047206_R	NaN	NaN	NaN
UCSB_IZC00047222_R	NaN	NaN	NaN
UCSB_IZC00047335_L	NaN	NaN	NaN
UCSB_IZC00047335_R	NaN	NaN	NaN
UCSB_IZC00047359_L	NaN	NaN	NaN
UCSB_IZC00047359_R	NaN	NaN	NaN
UCSB_IZC00047372_L	NaN	NaN	NaN
UCSB_IZC00047372_R	NaN	NaN	NaN
UCSB_IZC00047388_L	NaN	NaN	NaN
UCSB_IZC00047388_R	NaN	NaN	NaN
UCSB_IZC00059207_R	0.05	0.14	NaN
UCSB_IZC00062586_R	0.048	0.134	NaN
UCSB_IZC00062603_L	0.051	0.128	0.128
UCSB_IZC00062613_R	0.051	0.111	NaN
UCSB_IZC00062635_L	0.05	0.131	0.131
UCSB_IZC00065364_L	0.038	0.134	0.134
UCSB_IZC00065365_L	0.05	0.124	0.124
UCSB_IZC00065388_L	0.05	0.125	0.125
UCSB_IZC00065437_L	0.05	0.139	0.139
UCSB_IZC00065441_L	0.052	0.13	0.13
UCSB_IZC00010266_L	NaN	NaN	0.531
UCSB_IZC00010266_R	NaN	NaN	NaN
UCSB_IZC00010301_L	NaN	NaN	NaN
UCSB_IZC00010301_R	NaN	NaN	NaN
UCSB_IZC00010315_L	NaN	NaN	NaN
UCSB_IZC00010315_R	NaN	NaN	NaN
UCSB_IZC00010896_L	NaN	NaN	NaN
UCSB_IZC00010896_R	NaN	NaN	NaN
UCSB_IZC00012184_L	NaN	NaN	NaN
UCSB_IZC00012184_R	NaN	NaN	NaN
UCSB_IZC00012193_L	NaN	NaN	NaN
UCSB_IZC00012193_R	NaN	NaN	NaN
UCSB_IZC00012195_L	NaN	NaN	NaN
UCSB_IZC00012195_R	NaN	NaN	NaN
UCSB_IZC00012213_L	NaN	NaN	NaN
UCSB_IZC00012213_R	NaN	NaN	NaN
UCSB_IZC00012216_L	NaN	NaN	NaN
UCSB_IZC00012216_R	NaN	NaN	NaN
UCSB_IZC00012219_L	NaN	NaN	0.52
UCSB_IZC00012219_R	NaN	NaN	NaN
UCSB_IZC00012225_L	NaN	NaN	0.519
UCSB_IZC00012225_R	NaN	NaN	NaN
UCSB_IZC00012228_L	NaN	NaN	0.534
UCSB_IZC00012228_R	NaN	NaN	NaN
UCSB_IZC00012232_L	NaN	NaN	0.517
UCSB_IZC00012232_R	NaN	NaN	NaN
UCSB_IZC00012237_L	NaN	NaN	NaN
UCSB_IZC00012237_R	NaN	NaN	NaN
UCSB_IZC00012240_L	NaN	NaN	NaN
UCSB_IZC00012240_R	NaN	NaN	NaN
UCSB_IZC00014665_L	NaN	NaN	NaN
UCSB_IZC00014665_R	NaN	NaN	NaN
UCSB_IZC00014677_L	NaN	NaN	NaN
UCSB_IZC00014677_R	NaN	NaN	NaN
UCSB_IZC00014785_L	NaN	NaN	NaN
UCSB_IZC00014785_R	NaN	NaN	NaN
UCSB_IZC00014787_L	NaN	NaN	NaN
UCSB_IZC00014787_R	NaN	NaN	NaN
UCSB_IZC00014978_L	NaN	NaN	NaN
UCSB_IZC00014978_R	NaN	NaN	NaN
UCSB_IZC00015039_L	NaN	NaN	NaN
UCSB_IZC00015039_R	NaN	NaN	NaN
UCSB_IZC00035452_L	NaN	NaN	NaN
UCSB_IZC00035452_R	NaN	NaN	NaN
