catalogNumber,DryWeight_g_G,ITD_cm_G
UCSB_IZC00063960_L,0.048,0.091
UCSB_IZC00059186_L,0.044,0.087
UCSB_IZC00065373_L,0.043,0.093
UCSB_IZC00059217_L,0.047,0.113
UCSB_IZC00065410_L,0.045,0.125
UCSB_IZC00065370_L,0.045,0.128
UCSB_IZC00058161_L,0.051,0.135
UCSB_IZC00056496_L,0.051,0.152
UCSB_IZC00061362_L,0.052,0.156
UCSB_IZC00063934_L,0.043,0.108
UCSB_IZC00059213_L,0.045,0.1
UCSB_IZC00062597_L,0.045,0.105
UCSB_IZC00058732_L,0.045,0.106
UCSB_IZC00058765_L,0.045,0.107
UCSB_IZC00062608_L,0.043,0.107
UCSB_IZC00055305_L,0.046,0.108
UCSB_IZC00065382_L,0.045,0.112
UCSB_IZC00059176_L,0.045,0.118
UCSB_IZC00058733_L,0.045,0.115
UCSB_IZC00058711_L,0.049,0.117
UCSB_IZC00062604_L,0.047,0.12
UCSB_IZC00055318_L,0.049,0.123
UCSB_IZC00065431_L,0.048,0.131
UCSB_IZC00065422_L,0.05,0.135
UCSB_IZC00055315_L,0.051,0.138
UCSB_IZC00055298_L,0.063,0.139
UCSB_IZC00055762_L,0.066,0.172
UCSB_IZC00055761_L,0.066,0.176
UCSB_IZC00055282_L,0.065,0.179
UCSB_IZC00055277_L,0.07,0.194
UCSB_IZC00058665_L,0.053,0.169
UCSB_IZC00055286_L,0.046,0.107
UCSB_IZC00055767_L,0.047,0.095
UCSB_IZC00062602_L,0.045,0.096
UCSB_IZC00059171_L,0.046,0.101
UCSB_IZC00059178_L,0.045,0.101
UCSB_IZC00058742_L,0.046,0.103
UCSB_IZC00062620_L,0.031,0.105
UCSB_IZC00058750_L,0.045,0.108
UCSB_IZC00058789_L,0.045,0.11
UCSB_IZC00058696_L,0.046,0.111
UCSB_IZC00059181_L,0.045,0.112
UCSB_IZC00062607_L,0.047,0.117
UCSB_IZC00063935_L,0.048,0.079
UCSB_IZC00065012_L,0.044,0.083
